Model,Embedding,Classifier,Accuracy,Precision,Recall,F1
DS_content_modelsize100epoch1,Content only,Nearest Neighbors,0.917098445595855,0.9261744966442952,0.965034965034965,0.9452054794520548
DS_content_modelsize100epoch1,Content only,SVM RBF,0.9067357512953368,0.9310344827586208,0.944055944055944,0.9375
DS_content_modelsize100epoch1,Content only,Decision Tree,0.8393782383419689,0.8943661971830986,0.8881118881118881,0.8912280701754385
DS_content_modelsize100epoch1,Content only,Gaussian Naive Bayes,0.8756476683937824,0.8789808917197452,0.965034965034965,0.92
DS_content_modelsize100epoch1,Content only,Random Forest,0.8393782383419689,0.8943661971830986,0.8881118881118881,0.8912280701754385
DS_content_modelsize100epoch1,Content only,Ensemble,0.911917098445596,0.92,0.965034965034965,0.9419795221843004
DS_tags_modelsize100epoch1,Tags only,Nearest Neighbors,0.911917098445596,0.8987341772151899,0.993006993006993,0.9435215946843856
DS_tags_modelsize100epoch1,Tags only,SVM RBF,0.917098445595855,0.89937106918239,1.0,0.9470198675496688
DS_tags_modelsize100epoch1,Tags only,Decision Tree,0.8808290155440415,0.9,0.944055944055944,0.9215017064846416
DS_tags_modelsize100epoch1,Tags only,Gaussian Naive Bayes,0.911917098445596,0.903846153846154,0.986013986013986,0.94314381270903
DS_tags_modelsize100epoch1,Tags only,Random Forest,0.8808290155440415,0.9,0.944055944055944,0.9215017064846416
DS_tags_modelsize100epoch1,Tags only,Ensemble,0.917098445595855,0.89937106918239,1.0,0.9470198675496688
DS_content_tags_modelsize100epoch1,Content and tags,Nearest Neighbors,0.932642487046632,0.9710144927536232,0.9370629370629372,0.9537366548042706
DS_content_tags_modelsize100epoch1,Content and tags,SVM RBF,0.932642487046632,0.9513888888888888,0.958041958041958,0.9547038327526132
DS_content_tags_modelsize100epoch1,Content and tags,Decision Tree,0.8549222797927462,0.9136690647482014,0.8881118881118881,0.9007092198581561
DS_content_tags_modelsize100epoch1,Content and tags,Gaussian Naive Bayes,0.9067357512953368,0.9032258064516128,0.9790209790209792,0.9395973154362416
DS_content_tags_modelsize100epoch1,Content and tags,Random Forest,0.8549222797927462,0.9136690647482014,0.8881118881118881,0.9007092198581561
DS_content_tags_modelsize100epoch1,Content and tags,Ensemble,0.927461139896373,0.9574468085106383,0.944055944055944,0.9507042253521129
DS_content_modelsize100epoch2,Content only,Nearest Neighbors,0.911917098445596,0.943661971830986,0.9370629370629372,0.9403508771929824
DS_content_modelsize100epoch2,Content only,SVM RBF,0.911917098445596,0.943661971830986,0.9370629370629372,0.9403508771929824
DS_content_modelsize100epoch2,Content only,Decision Tree,0.8601036269430051,0.9393939393939394,0.8671328671328671,0.901818181818182
DS_content_modelsize100epoch2,Content only,Gaussian Naive Bayes,0.8808290155440415,0.8846153846153846,0.965034965034965,0.923076923076923
DS_content_modelsize100epoch2,Content only,Random Forest,0.8601036269430051,0.9393939393939394,0.8671328671328671,0.901818181818182
DS_content_modelsize100epoch2,Content only,Ensemble,0.917098445595855,0.944055944055944,0.944055944055944,0.944055944055944
DS_tags_modelsize100epoch2,Tags only,Nearest Neighbors,0.911917098445596,0.8987341772151899,0.993006993006993,0.9435215946843856
DS_tags_modelsize100epoch2,Tags only,SVM RBF,0.911917098445596,0.89375,1.0,0.943894389438944
DS_tags_modelsize100epoch2,Tags only,Decision Tree,0.8808290155440415,0.8947368421052632,0.951048951048951,0.9220338983050848
DS_tags_modelsize100epoch2,Tags only,Gaussian Naive Bayes,0.917098445595855,0.9044585987261148,0.993006993006993,0.9466666666666668
DS_tags_modelsize100epoch2,Tags only,Random Forest,0.8808290155440415,0.8947368421052632,0.951048951048951,0.9220338983050848
DS_tags_modelsize100epoch2,Tags only,Ensemble,0.9067357512953368,0.8930817610062893,0.993006993006993,0.9403973509933774
DS_content_tags_modelsize100epoch2,Content and tags,Nearest Neighbors,0.932642487046632,0.9577464788732394,0.951048951048951,0.9543859649122808
DS_content_tags_modelsize100epoch2,Content and tags,SVM RBF,0.932642487046632,0.9513888888888888,0.958041958041958,0.9547038327526132
DS_content_tags_modelsize100epoch2,Content and tags,Decision Tree,0.8601036269430051,0.8918918918918919,0.9230769230769232,0.9072164948453608
DS_content_tags_modelsize100epoch2,Content and tags,Gaussian Naive Bayes,0.8860103626943006,0.8903225806451613,0.965034965034965,0.9261744966442954
DS_content_tags_modelsize100epoch2,Content and tags,Random Forest,0.8601036269430051,0.8918918918918919,0.9230769230769232,0.9072164948453608
DS_content_tags_modelsize100epoch2,Content and tags,Ensemble,0.922279792746114,0.9266666666666666,0.972027972027972,0.9488054607508531
DS_content_modelsize100epoch3,Content only,Nearest Neighbors,0.927461139896373,0.951048951048951,0.951048951048951,0.951048951048951
DS_content_modelsize100epoch3,Content only,SVM RBF,0.917098445595855,0.944055944055944,0.944055944055944,0.944055944055944
DS_content_modelsize100epoch3,Content only,Decision Tree,0.844559585492228,0.8951048951048951,0.8951048951048951,0.8951048951048951
DS_content_modelsize100epoch3,Content only,Gaussian Naive Bayes,0.8756476683937824,0.8789808917197452,0.965034965034965,0.92
DS_content_modelsize100epoch3,Content only,Random Forest,0.844559585492228,0.8951048951048951,0.8951048951048951,0.8951048951048951
DS_content_modelsize100epoch3,Content only,Ensemble,0.9067357512953368,0.9194630872483222,0.958041958041958,0.9383561643835616
DS_tags_modelsize100epoch3,Tags only,Nearest Neighbors,0.932642487046632,0.9276315789473684,0.986013986013986,0.9559322033898306
DS_tags_modelsize100epoch3,Tags only,SVM RBF,0.911917098445596,0.89375,1.0,0.943894389438944
DS_tags_modelsize100epoch3,Tags only,Decision Tree,0.8756476683937824,0.9047619047619048,0.93006993006993,0.9172413793103448
DS_tags_modelsize100epoch3,Tags only,Gaussian Naive Bayes,0.932642487046632,0.922077922077922,0.993006993006993,0.9562289562289562
DS_tags_modelsize100epoch3,Tags only,Random Forest,0.8756476683937824,0.9047619047619048,0.93006993006993,0.9172413793103448
DS_tags_modelsize100epoch3,Tags only,Ensemble,0.927461139896373,0.9161290322580644,0.993006993006993,0.953020134228188
DS_content_tags_modelsize100epoch3,Content and tags,Nearest Neighbors,0.911917098445596,0.9375,0.944055944055944,0.940766550522648
DS_content_tags_modelsize100epoch3,Content and tags,SVM RBF,0.932642487046632,0.9513888888888888,0.958041958041958,0.9547038327526132
DS_content_tags_modelsize100epoch3,Content and tags,Decision Tree,0.8808290155440415,0.9225352112676056,0.916083916083916,0.9192982456140352
DS_content_tags_modelsize100epoch3,Content and tags,Gaussian Naive Bayes,0.8963730569948186,0.9019607843137256,0.965034965034965,0.9324324324324323
DS_content_tags_modelsize100epoch3,Content and tags,Random Forest,0.8808290155440415,0.9225352112676056,0.916083916083916,0.9192982456140352
DS_content_tags_modelsize100epoch3,Content and tags,Ensemble,0.922279792746114,0.9507042253521126,0.944055944055944,0.9473684210526316
DS_content_modelsize100epoch4,Content only,Nearest Neighbors,0.9067357512953368,0.9370629370629372,0.9370629370629372,0.9370629370629372
DS_content_modelsize100epoch4,Content only,SVM RBF,0.917098445595855,0.944055944055944,0.944055944055944,0.944055944055944
DS_content_modelsize100epoch4,Content only,Decision Tree,0.8704663212435233,0.9402985074626866,0.8811188811188811,0.9097472924187726
DS_content_modelsize100epoch4,Content only,Gaussian Naive Bayes,0.8808290155440415,0.8846153846153846,0.965034965034965,0.923076923076923
DS_content_modelsize100epoch4,Content only,Random Forest,0.8756476683937824,0.9407407407407408,0.8881118881118881,0.9136690647482014
DS_content_modelsize100epoch4,Content only,Ensemble,0.9067357512953368,0.9370629370629372,0.9370629370629372,0.9370629370629372
DS_tags_modelsize100epoch4,Tags only,Nearest Neighbors,0.922279792746114,0.9102564102564102,0.993006993006993,0.9498327759197324
DS_tags_modelsize100epoch4,Tags only,SVM RBF,0.917098445595855,0.89937106918239,1.0,0.9470198675496688
DS_tags_modelsize100epoch4,Tags only,Decision Tree,0.8808290155440415,0.9166666666666666,0.9230769230769232,0.9198606271777002
DS_tags_modelsize100epoch4,Tags only,Gaussian Naive Bayes,0.922279792746114,0.9102564102564102,0.993006993006993,0.9498327759197324
DS_tags_modelsize100epoch4,Tags only,Random Forest,0.8808290155440415,0.9166666666666666,0.9230769230769232,0.9198606271777002
DS_tags_modelsize100epoch4,Tags only,Ensemble,0.917098445595855,0.9044585987261148,0.993006993006993,0.9466666666666668
DS_content_tags_modelsize100epoch4,Content and tags,Nearest Neighbors,0.9067357512953368,0.9251700680272108,0.951048951048951,0.9379310344827588
DS_content_tags_modelsize100epoch4,Content and tags,SVM RBF,0.9378238341968912,0.958041958041958,0.958041958041958,0.958041958041958
DS_content_tags_modelsize100epoch4,Content and tags,Decision Tree,0.8911917098445595,0.9013157894736842,0.958041958041958,0.9288135593220338
DS_content_tags_modelsize100epoch4,Content and tags,Gaussian Naive Bayes,0.8911917098445595,0.8961038961038961,0.965034965034965,0.9292929292929292
DS_content_tags_modelsize100epoch4,Content and tags,Random Forest,0.8911917098445595,0.9013157894736842,0.958041958041958,0.9288135593220338
DS_content_tags_modelsize100epoch4,Content and tags,Ensemble,0.917098445595855,0.9319727891156464,0.958041958041958,0.9448275862068966
DS_content_modelsize100epoch5,Content only,Nearest Neighbors,0.8911917098445595,0.9236111111111112,0.93006993006993,0.926829268292683
DS_content_modelsize100epoch5,Content only,SVM RBF,0.922279792746114,0.9637681159420288,0.93006993006993,0.9466192170818506
DS_content_modelsize100epoch5,Content only,Decision Tree,0.844559585492228,0.900709219858156,0.8881118881118881,0.8943661971830986
DS_content_modelsize100epoch5,Content only,Gaussian Naive Bayes,0.8756476683937824,0.8789808917197452,0.965034965034965,0.92
DS_content_modelsize100epoch5,Content only,Random Forest,0.844559585492228,0.900709219858156,0.8881118881118881,0.8943661971830986
DS_content_modelsize100epoch5,Content only,Ensemble,0.8911917098445595,0.9295774647887324,0.9230769230769232,0.9263157894736844
DS_tags_modelsize100epoch5,Tags only,Nearest Neighbors,0.917098445595855,0.9044585987261148,0.993006993006993,0.9466666666666668
DS_tags_modelsize100epoch5,Tags only,SVM RBF,0.9067357512953368,0.8881987577639752,1.0,0.9407894736842104
DS_tags_modelsize100epoch5,Tags only,Decision Tree,0.8601036269430051,0.8918918918918919,0.9230769230769232,0.9072164948453608
DS_tags_modelsize100epoch5,Tags only,Gaussian Naive Bayes,0.922279792746114,0.9050632911392406,1.0,0.9501661129568107
DS_tags_modelsize100epoch5,Tags only,Random Forest,0.8601036269430051,0.8918918918918919,0.9230769230769232,0.9072164948453608
DS_tags_modelsize100epoch5,Tags only,Ensemble,0.917098445595855,0.9044585987261148,0.993006993006993,0.9466666666666668
DS_content_tags_modelsize100epoch5,Content and tags,Nearest Neighbors,0.922279792746114,0.9507042253521126,0.944055944055944,0.9473684210526316
DS_content_tags_modelsize100epoch5,Content and tags,SVM RBF,0.9378238341968912,0.958041958041958,0.958041958041958,0.958041958041958
DS_content_tags_modelsize100epoch5,Content and tags,Decision Tree,0.8652849740932642,0.903448275862069,0.916083916083916,0.9097222222222222
DS_content_tags_modelsize100epoch5,Content and tags,Gaussian Naive Bayes,0.9067357512953368,0.913907284768212,0.965034965034965,0.9387755102040816
DS_content_tags_modelsize100epoch5,Content and tags,Random Forest,0.8652849740932642,0.903448275862069,0.916083916083916,0.9097222222222222
DS_content_tags_modelsize100epoch5,Content and tags,Ensemble,0.932642487046632,0.9513888888888888,0.958041958041958,0.9547038327526132
DS_content_modelsize100epoch6,Content only,Nearest Neighbors,0.922279792746114,0.9571428571428572,0.9370629370629372,0.9469964664310956
DS_content_modelsize100epoch6,Content only,SVM RBF,0.927461139896373,0.9574468085106383,0.944055944055944,0.9507042253521129
DS_content_modelsize100epoch6,Content only,Decision Tree,0.8860103626943006,0.9230769230769232,0.9230769230769232,0.9230769230769232
DS_content_modelsize100epoch6,Content only,Gaussian Naive Bayes,0.8860103626943006,0.8903225806451613,0.965034965034965,0.9261744966442954
DS_content_modelsize100epoch6,Content only,Random Forest,0.8911917098445595,0.9236111111111112,0.93006993006993,0.926829268292683
DS_content_modelsize100epoch6,Content only,Ensemble,0.911917098445596,0.9375,0.944055944055944,0.940766550522648
DS_tags_modelsize100epoch6,Tags only,Nearest Neighbors,0.922279792746114,0.9155844155844156,0.986013986013986,0.9494949494949496
DS_tags_modelsize100epoch6,Tags only,SVM RBF,0.922279792746114,0.9050632911392406,1.0,0.9501661129568107
DS_tags_modelsize100epoch6,Tags only,Decision Tree,0.9067357512953368,0.913907284768212,0.965034965034965,0.9387755102040816
DS_tags_modelsize100epoch6,Tags only,Gaussian Naive Bayes,0.917098445595855,0.9044585987261148,0.993006993006993,0.9466666666666668
DS_tags_modelsize100epoch6,Tags only,Random Forest,0.9067357512953368,0.913907284768212,0.965034965034965,0.9387755102040816
DS_tags_modelsize100epoch6,Tags only,Ensemble,0.927461139896373,0.9161290322580644,0.993006993006993,0.953020134228188
DS_content_tags_modelsize100epoch6,Content and tags,Nearest Neighbors,0.922279792746114,0.9507042253521126,0.944055944055944,0.9473684210526316
DS_content_tags_modelsize100epoch6,Content and tags,SVM RBF,0.922279792746114,0.9383561643835616,0.958041958041958,0.9480968858131488
DS_content_tags_modelsize100epoch6,Content and tags,Decision Tree,0.8704663212435233,0.9041095890410958,0.9230769230769232,0.9134948096885814
DS_content_tags_modelsize100epoch6,Content and tags,Gaussian Naive Bayes,0.9015544041450776,0.9078947368421052,0.965034965034965,0.9355932203389832
DS_content_tags_modelsize100epoch6,Content and tags,Random Forest,0.8704663212435233,0.9041095890410958,0.9230769230769232,0.9134948096885814
DS_content_tags_modelsize100epoch6,Content and tags,Ensemble,0.9015544041450776,0.9133333333333332,0.958041958041958,0.9351535836177474
DS_content_modelsize100epoch7,Content only,Nearest Neighbors,0.9067357512953368,0.9310344827586208,0.944055944055944,0.9375
DS_content_modelsize100epoch7,Content only,SVM RBF,0.932642487046632,0.9577464788732394,0.951048951048951,0.9543859649122808
DS_content_modelsize100epoch7,Content only,Decision Tree,0.8601036269430051,0.908450704225352,0.902097902097902,0.9052631578947368
DS_content_modelsize100epoch7,Content only,Gaussian Naive Bayes,0.8911917098445595,0.8961038961038961,0.965034965034965,0.9292929292929292
DS_content_modelsize100epoch7,Content only,Random Forest,0.8601036269430051,0.908450704225352,0.902097902097902,0.9052631578947368
DS_content_modelsize100epoch7,Content only,Ensemble,0.927461139896373,0.9448275862068966,0.958041958041958,0.9513888888888888
DS_tags_modelsize100epoch7,Tags only,Nearest Neighbors,0.9015544041450776,0.8974358974358975,0.9790209790209792,0.9364548494983278
DS_tags_modelsize100epoch7,Tags only,SVM RBF,0.911917098445596,0.89375,1.0,0.943894389438944
DS_tags_modelsize100epoch7,Tags only,Decision Tree,0.8911917098445595,0.9066666666666666,0.951048951048951,0.9283276450511946
DS_tags_modelsize100epoch7,Tags only,Gaussian Naive Bayes,0.917098445595855,0.9096774193548388,0.986013986013986,0.9463087248322148
DS_tags_modelsize100epoch7,Tags only,Random Forest,0.8911917098445595,0.9066666666666666,0.951048951048951,0.9283276450511946
DS_tags_modelsize100epoch7,Tags only,Ensemble,0.9015544041450776,0.8974358974358975,0.9790209790209792,0.9364548494983278
DS_content_tags_modelsize100epoch7,Content and tags,Nearest Neighbors,0.911917098445596,0.9375,0.944055944055944,0.940766550522648
DS_content_tags_modelsize100epoch7,Content and tags,SVM RBF,0.9430051813471504,0.9583333333333334,0.965034965034965,0.9616724738675956
DS_content_tags_modelsize100epoch7,Content and tags,Decision Tree,0.8601036269430051,0.8866666666666667,0.93006993006993,0.907849829351536
DS_content_tags_modelsize100epoch7,Content and tags,Gaussian Naive Bayes,0.9015544041450776,0.9078947368421052,0.965034965034965,0.9355932203389832
DS_content_tags_modelsize100epoch7,Content and tags,Random Forest,0.8601036269430051,0.8866666666666667,0.93006993006993,0.907849829351536
DS_content_tags_modelsize100epoch7,Content and tags,Ensemble,0.9015544041450776,0.918918918918919,0.951048951048951,0.9347079037800688
DS_tags_modelsize100epoch8,Tags only,Nearest Neighbors,0.917098445595855,0.9044585987261148,0.993006993006993,0.9466666666666668
DS_tags_modelsize100epoch8,Tags only,SVM RBF,0.911917098445596,0.89375,1.0,0.943894389438944
DS_tags_modelsize100epoch8,Tags only,Decision Tree,0.9067357512953368,0.913907284768212,0.965034965034965,0.9387755102040816
DS_tags_modelsize100epoch8,Tags only,Gaussian Naive Bayes,0.932642487046632,0.9166666666666666,1.0,0.9565217391304348
DS_tags_modelsize100epoch8,Tags only,Random Forest,0.9067357512953368,0.913907284768212,0.965034965034965,0.9387755102040816
DS_tags_modelsize100epoch8,Tags only,Ensemble,0.922279792746114,0.9102564102564102,0.993006993006993,0.9498327759197324
DS_content_modelsize100epoch8,Content only,Nearest Neighbors,0.932642487046632,0.9710144927536232,0.9370629370629372,0.9537366548042706
DS_content_modelsize100epoch8,Content only,SVM RBF,0.932642487046632,0.9642857142857144,0.944055944055944,0.9540636042402828
DS_content_modelsize100epoch8,Content only,Decision Tree,0.8652849740932642,0.927007299270073,0.8881118881118881,0.907142857142857
DS_content_modelsize100epoch8,Content only,Gaussian Naive Bayes,0.8963730569948186,0.9019607843137256,0.965034965034965,0.9324324324324323
