Embedding,Classifier,Precision,Accuracy,F1 score,Recall
Content only,Nearest Neighbors,0.8873239436619719,0.8341968911917098,0.8873239436619719,0.8873239436619719
Content only,Linear SVM,0.7389033942558747,0.7383419689119171,0.8485757121439281,0.9964788732394366
Content only,RBF SVM,0.8979591836734694,0.8704663212435233,0.9134948096885813,0.9295774647887324
Content only,Decision Tree,0.8927335640138409,0.8523316062176166,0.9005235602094241,0.9084507042253521
Tags only,Nearest Neighbors,0.9149659863945578,0.8963730569948186,0.9307958477508651,0.9471830985915493
Tags only,Linear SVM,0.7357512953367875,0.7357512953367875,0.8477611940298507,1.0
Tags only,RBF SVM,0.8949044585987261,0.9067357512953368,0.939799331103679,0.9894366197183099
Tags only,Decision Tree,0.9046052631578947,0.9015544041450777,0.935374149659864,0.9683098591549296
Content and tags,Nearest Neighbors,0.9128919860627178,0.8782383419689119,0.9176882661996498,0.9225352112676056
Content and tags,Linear SVM,0.7357512953367875,0.7357512953367875,0.8477611940298507,1.0
Content and tags,RBF SVM,0.9087837837837838,0.8911917098445595,0.9275862068965517,0.9471830985915493
Content and tags,Decision Tree,0.9257950530035336,0.8886010362694301,0.9241622574955909,0.9225352112676056
Ensemble,Nearest Neighbors,0.9305555555555556,0.9067357512953368,0.9370629370629372,0.9436619718309859
Ensemble,Linear SVM,0.8202898550724638,0.8367875647668394,0.8998410174880763,0.9964788732394366
Ensemble,RBF SVM,0.9278350515463918,0.9093264248704663,0.9391304347826086,0.9507042253521126
Ensemble,Decision Tree,0.9514925373134329,0.8911917098445595,0.9239130434782609,0.897887323943662
