Embedding,Classifier,Precision,Accuracy,F1 score,Recall
Content only,Nearest Neighbors,0.6257837973413595,0.8234537739488235,0.5924606708222024,0.5625070454289257
Content only,Linear SVM,0.0,0.7718657580043718,0.0,0.0
Content only,RBF SVM,0.594724446537918,0.8235823582358236,0.647952376064867,0.7116446849284185
Content only,Decision Tree,0.7512187690432663,0.8566799537096567,0.6389374797538062,0.5558561605230526
Content only,Random Forest,0.7491346877351392,0.857014272855857,0.6416602217066254,0.5611543230751889
Content only,Neural Net,0.7772792534099067,0.8513308473704513,0.5997368967665997,0.48822004283620785
Content only,AdaBoost,0.7376387487386479,0.8566542368522566,0.6473937246963564,0.5768233570059745
Content only,Naive Bayes,0.4886693782684486,0.7628391410569628,0.6214285714285716,0.8532296246195469
Content only,QDA,0.4886693782684486,0.7628391410569628,0.6214285714285716,0.8532296246195469
Tags only,Nearest Neighbors,0.5188981422165279,0.7794522309373795,0.4857279923242984,0.45654379438620224
Tags only,Linear SVM,0.0,0.7718657580043718,0.0,0.0
Tags only,RBF SVM,0.0,0.7718657580043718,0.0,0.0
Tags only,Decision Tree,0.6051807571875889,0.8098752732416099,0.5349437000691954,0.47931462067410663
Tags only,Random Forest,0.597134374596618,0.8105696283914106,0.5567456974365147,0.5214744673655732
Tags only,Neural Net,0.0,0.7718657580043718,0.0,0.0
Tags only,AdaBoost,0.6062049062049062,0.8097209720972097,0.5317384975634454,0.4735655506707248
Tags only,Naive Bayes,0.4526472781506339,0.7294072264369295,0.5999847931873479,0.8895276744448202
Tags only,QDA,0.4526472781506339,0.7294072264369295,0.5999847931873479,0.8895276744448202
Content and tags,Nearest Neighbors,0.6148640334686847,0.8198791307702199,0.5879515237086715,0.5632961334686055
Content and tags,Linear SVM,0.0,0.7718657580043718,0.0,0.0
Content and tags,RBF SVM,0.5890537178660278,0.8215764433586216,0.6482457919286149,0.7206628339533311
Content and tags,Decision Tree,0.7526015441423296,0.8492734987784493,0.6047609413986109,0.5054672528463533
Content and tags,Random Forest,0.7501657824933687,0.8494792336376494,0.6072602831644636,0.510089054221621
Content and tags,Neural Net,0.7366293532338308,0.8501478719300501,0.6192249885643338,0.534099876000451
Content and tags,AdaBoost,0.7539629005059022,0.8493249324932494,0.6041483683534896,0.504001803629805
Content and tags,Naive Bayes,0.4893405432282926,0.763044875916163,0.630849358974359,0.8874985909142149
Content and tags,QDA,0.4893405432282926,0.763044875916163,0.630849358974359,0.8874985909142149
Ensamble,Nearest Neighbors,0.7685770070058574,0.8921435000642921,0.7614063033337126,0.7543681659339421
Ensamble,Linear SVM,0.5331429894281966,0.7939565385109939,0.6329821346770499,0.7788298951640176
Ensamble,RBF SVM,0.6687464549064095,0.8483734087694483,0.6666289720683026,0.6645248562732499
Ensamble,Decision Tree,0.7325842696629213,0.8783335476404783,0.7337797535310338,0.7349791455303799
Ensamble,Random Forest,0.7774535809018568,0.8794650893660795,0.7143988788008044,0.6608048698004735
Ensamble,Neural Net,0.7671101138002885,0.8575800437186576,0.6334877564526803,0.5395107654153984
Ensamble,AdaBoost,0.7513243529589829,0.8572714414298572,0.6414265408967568,0.5595761469958291
Ensamble,Naive Bayes,0.4891246369940141,0.7624276713385624,0.6411591050341827,0.9303347987825499
Ensamble,QDA,0.488414672643475,0.7624276713385624,0.626143261837313,0.872055010709052
