Embedding,Classifier,Precision,Accuracy,Recall,F1 (clone as positive class),F1 (distinct as positive class)
Content only,Nearest Neighbors,0.9232127096204766,0.9790347544674265,0.944043321299639,0.9335118250780902,0.9875553328322058
Content only,Linear SVM,0.9022801302931596,0.9831152384972562,1.0,0.9486301369863014,0.98989728910591
Content only,RBF SVM,0.9022801302931596,0.9831152384972562,1.0,0.9486301369863014,0.98989728910591
Content only,Decision Tree,0.9197952218430034,0.9825524131138315,0.9729241877256317,0.9456140350877194,0.9896095190212836
Content only,Random Forest,0.9228100607111882,0.9812860560011256,0.9602888086642599,0.9411764705882353,0.9888730862544968
Content only,Neural Net,0.9030154849225754,0.9832559448431124,1.0,0.9490364025695932,0.9899823217442545
Content only,AdaBoost,0.9197267292912041,0.9824117067679753,0.9720216606498195,0.945151382185169,0.9895266024298282
Content only,Naive Bayes,0.9078189300411522,0.9835373575348249,0.9954873646209387,0.949634093844167,0.9901606256832899
Content only,QDA,0.9078189300411522,0.9835373575348249,0.9954873646209387,0.949634093844167,0.9901606256832899
Tags only,Nearest Neighbors,0.6600517687661778,0.896299423103982,0.6904332129963899,0.6749007498897222,0.9383108730225161
Tags only,Linear SVM,0.0,0.8440973687913325,0.0,0.0,0.9154585685945368
Tags only,RBF SVM,0.6162402669632926,0.9029126213592233,1.0,0.7625602202339986,0.9389812522108242
Tags only,Decision Tree,0.7304890738813735,0.9064302800056283,0.6335740072202166,0.6785886901884969,0.9452449567723341
Tags only,Random Forest,0.6949006050129646,0.9075559307724779,0.7256317689530686,0.7099337748344372,0.9450163193572684
Tags only,Neural Net,0.626951995373048,0.9058674546222034,0.9783393501805054,0.7641875220303137,0.9411971521490727
Tags only,AdaBoost,0.6731066460587326,0.9071338117349093,0.7861010830324909,0.7252289758534555,0.9441246190314935
Tags only,Naive Bayes,0.6269430051813472,0.9061488673139159,0.9828519855595668,0.7655536028119508,0.9413316914416395
Tags only,QDA,0.6269430051813472,0.9061488673139159,0.9828519855595668,0.7655536028119508,0.9413316914416395
Content and tags,Nearest Neighbors,0.9725663716814159,0.9943717461657521,0.9918772563176895,0.9821268990169795,0.9966599866399465
Content and tags,Linear SVM,0.5807127882599581,0.8874349233150415,1.0,0.7347480106100795,0.9285586711912841
Content and tags,RBF SVM,0.9059689288634505,0.9838187702265372,1.0,0.9506649506649506,0.9903223091811832
Content and tags,Decision Tree,0.9751552795031055,0.9947938652033207,0.9918772563176895,0.9834451901565996,0.9969112613740714
Content and tags,Random Forest,0.9717314487632509,0.9943717461657521,0.9927797833935018,0.9821428571428571,0.9966594287623184
Content and tags,Neural Net,0.9052287581699346,0.983678063880681,1.0,0.9502572898799314,0.9902373337821916
Content and tags,AdaBoost,0.9717314487632509,0.9943717461657521,0.9927797833935018,0.9821428571428571,0.9966594287623184
Content and tags,Naive Bayes,0.9667541557305337,0.9942310398198959,0.9972924187725631,0.9817858729453576,0.9965727660285881
Content and tags,QDA,0.9667541557305337,0.9942310398198959,0.9972924187725631,0.9817858729453576,0.9965727660285881
Ensamble,Nearest Neighbors,0.9777580071174378,0.9952159842408893,0.9918772563176895,0.9847670250896058,0.9971624102820899
Ensamble,Linear SVM,0.9030154849225754,0.9832559448431124,1.0,0.9490364025695932,0.9899823217442545
Ensamble,RBF SVM,0.909688013136289,0.9845223019558182,1.0,0.9527085124677558,0.9907469717362045
Ensamble,Decision Tree,0.9829901521933752,0.9959195159701703,0.9909747292418772,0.9869662921348316,0.9975811160230211
Ensamble,Random Forest,0.9795737122557726,0.9960602223160264,0.9954873646209387,0.9874664279319606,0.9976627712854759
Ensamble,Neural Net,0.9044897959183673,0.9835373575348249,1.0,0.9498499785683668,0.9901523440787813
Ensamble,AdaBoost,0.9821428571428571,0.9960602223160264,0.9927797833935018,0.9874326750448832,0.997663941264809
Ensamble,Naive Bayes,0.9164598842018197,0.985788659068524,1.0,0.956409149762624,0.9915104648230646
Ensamble,QDA,0.9558058925476604,0.992120444632053,0.9954873646209387,0.9752431476569408,0.9953145917001339
