Embedding,Classifier,Precision,Accuracy,Recall,F1 (clone as positive class),F1 (distinct as positive class)
Content only,Nearest Neighbors,0.4652173913043478,0.913585554600172,0.2772020725388601,0.3474025974025974,0.9537292817679558
Content only,Linear SVM,0.0,0.9170249355116079,0.0,0.0,0.95671675263512
Content only,RBF SVM,0.0,0.9170249355116079,0.0,0.0,0.95671675263512
Content only,Decision Tree,0.6455696202531646,0.9269131556319863,0.26424870466321243,0.375,0.9611872146118722
Content only,Random Forest,0.5921787709497207,0.9241186586414445,0.27461139896373055,0.37522123893805304,0.9596063622840142
Content only,Neural Net,0.0,0.9170249355116079,0.0,0.0,0.95671675263512
Content only,AdaBoost,0.625,0.9251934651762683,0.24611398963730569,0.3531598513011152,0.9603011635865846
Content only,Naive Bayes,0.0,0.9170249355116079,0.0,0.0,0.95671675263512
Content only,QDA,0.0,0.9170249355116079,0.0,0.0,0.95671675263512
Tags only,Nearest Neighbors,0.475177304964539,0.9140154772141015,0.3471502590673575,0.4011976047904192,0.9536822603056971
Tags only,Linear SVM,0.0,0.9170249355116079,0.0,0.0,0.95671675263512
Tags only,RBF SVM,0.0,0.9170249355116079,0.0,0.0,0.95671675263512
Tags only,Decision Tree,0.5742574257425742,0.9234737747205503,0.3005181347150259,0.3945578231292517,0.9591555759522716
Tags only,Random Forest,0.5548387096774193,0.9206792777300086,0.22279792746113988,0.31792975970425136,0.9578911331735707
Tags only,Neural Net,0.0,0.9170249355116079,0.0,0.0,0.95671675263512
Tags only,AdaBoost,0.55625,0.9208942390369733,0.23056994818652848,0.32600732600732596,0.9579812742635305
Tags only,Naive Bayes,0.0,0.9170249355116079,0.0,0.0,0.95671675263512
Tags only,QDA,0.0,0.9170249355116079,0.0,0.0,0.95671675263512
Content and tags,Nearest Neighbors,0.6085271317829457,0.9290627687016337,0.4067357512953368,0.4875776397515528,0.9618937644341802
Content and tags,Linear SVM,0.0,0.9170249355116079,0.0,0.0,0.95671675263512
Content and tags,RBF SVM,0.0,0.9170249355116079,0.0,0.0,0.95671675263512
Content and tags,Decision Tree,0.7911392405063291,0.9368013757523646,0.3238341968911917,0.45955882352941174,0.9664383561643836
Content and tags,Random Forest,0.8,0.9370163370593293,0.32124352331606215,0.4584103512014787,0.9665639621134314
Content and tags,Neural Net,0.0,0.9170249355116079,0.0,0.0,0.95671675263512
Content and tags,AdaBoost,0.7752808988764045,0.938091143594153,0.35751295336787564,0.4893617021276596,0.9670480549199084
Content and tags,Naive Bayes,0.0,0.9170249355116079,0.0,0.0,0.95671675263512
Content and tags,QDA,0.0,0.9170249355116079,0.0,0.0,0.95671675263512
Ensamble,Nearest Neighbors,0.7924528301886793,0.9570077386070507,0.6528497409326425,0.7159090909090909,0.9767441860465116
Ensamble,Linear SVM,0.0,0.9170249355116079,0.0,0.0,0.95671675263512
Ensamble,RBF SVM,0.0,0.9170249355116079,0.0,0.0,0.95671675263512
Ensamble,Decision Tree,0.9125,0.9595872742906277,0.5673575129533679,0.6996805111821087,0.9783360221249136
Ensamble,Random Forest,0.9439252336448598,0.9578675838349097,0.5233160621761658,0.6733333333333333,0.9774816176470588
Ensamble,Neural Net,0.0,0.9170249355116079,0.0,0.0,0.95671675263512
Ensamble,AdaBoost,0.9112903225806451,0.9608770421324162,0.5854922279792746,0.7129337539432177,0.9790080738177623
Ensamble,Naive Bayes,0.2802950474183351,0.8273860705073087,0.689119170984456,0.3985018726591761,0.8992345338185469
Ensamble,QDA,0.44559585492227977,0.9034823731728289,0.6683937823834197,0.5347150259067358,0.946156613502818
