Embedding,Classifier,Precision,Accuracy,Recall,F1 (clone as positive class),F1 (distinct as positive class)
Content only,Nearest Neighbors,0.6482300884955752,0.928476821192053,0.6397379912663755,0.643956043956044,0.9602453987730062
Content only,Linear SVM,0.0,0.8988962472406181,0.0,0.0,0.9467565682399443
Content only,RBF SVM,0.0,0.8988962472406181,0.0,0.0,0.9467565682399443
Content only,Decision Tree,0.673469387755102,0.9364238410596026,0.7205240174672489,0.6962025316455697,0.9644970414201183
Content only,Random Forest,0.6666666666666666,0.937748344370861,0.7685589519650655,0.7139959432048683,0.9650730740648996
Content only,Neural Net,0.0,0.8988962472406181,0.0,0.0,0.9467565682399443
Content only,AdaBoost,0.6561954624781849,0.93841059602649,0.8209606986899564,0.7293889427740057,0.9652509652509653
Content only,Naive Bayes,0.5481927710843374,0.9165562913907285,0.9934497816593887,0.7065217391304348,0.9513638703036542
Content only,QDA,0.5481927710843374,0.9165562913907285,0.9934497816593887,0.7065217391304348,0.9513638703036542
Tags only,Nearest Neighbors,0.45118733509234826,0.890728476821192,0.37336244541484714,0.4086021505376344,0.9398029916089019
Tags only,Linear SVM,0.0,0.8988962472406181,0.0,0.0,0.9467565682399443
Tags only,RBF SVM,0.0,0.8988962472406181,0.0,0.0,0.9467565682399443
Tags only,Decision Tree,0.5604166666666667,0.9116997792494481,0.5873362445414847,0.5735607675906184,0.950751046540261
Tags only,Random Forest,0.5516304347826086,0.9072847682119205,0.4432314410480349,0.4915254237288135,0.9489919844547
Tags only,Neural Net,0.0,0.8988962472406181,0.0,0.0,0.9467565682399443
Tags only,AdaBoost,0.5636363636363636,0.9081677704194261,0.40611353711790393,0.47208121827411165,0.9497098646034816
Tags only,Naive Bayes,0.41089566020313945,0.8562913907284768,0.9716157205240175,0.5775470473718365,0.9134193376778827
Tags only,QDA,0.41089566020313945,0.8562913907284768,0.9716157205240175,0.5775470473718365,0.9134193376778827
Content and tags,Nearest Neighbors,0.6017505470459519,0.9194260485651214,0.6004366812227074,0.6010928961748633,0.9551872314303254
Content and tags,Linear SVM,0.0,0.8988962472406181,0.0,0.0,0.9467565682399443
Content and tags,RBF SVM,0.0,0.8988962472406181,0.0,0.0,0.9467565682399443
Content and tags,Decision Tree,0.6274864376130199,0.9300220750551876,0.75764192139738,0.6864490603363006,0.9606162256180891
Content and tags,Random Forest,0.6328413284132841,0.9306843267108168,0.7489082969432315,0.6859999999999999,0.9610421836228287
Content and tags,Neural Net,0.0,0.8988962472406181,0.0,0.0,0.9467565682399443
Content and tags,AdaBoost,0.6412639405204461,0.9324503311258279,0.7532751091703057,0.6927710843373494,0.9620535714285715
Content and tags,Naive Bayes,0.5286549707602339,0.9097130242825607,0.9868995633187773,0.6884996191926885,0.9472053698205757
Content and tags,QDA,0.5286549707602339,0.9097130242825607,0.9868995633187773,0.6884996191926885,0.9472053698205757
Ensamble,Nearest Neighbors,0.7711670480549199,0.9512141280353201,0.7358078602620087,0.753072625698324,0.972933251684017
Ensamble,Linear SVM,0.0,0.8988962472406181,0.0,0.0,0.9467565682399443
Ensamble,RBF SVM,0.0,0.8988962472406181,0.0,0.0,0.9467565682399443
Ensamble,Decision Tree,0.7795823665893271,0.9520971302428256,0.7336244541484717,0.7559055118110235,0.9734426630767348
Ensamble,Random Forest,0.7841409691629956,0.9558498896247241,0.777292576419214,0.7807017543859649,0.9754540991654395
Ensamble,Neural Net,0.0,0.8988962472406181,0.0,0.0,0.9467565682399443
Ensamble,AdaBoost,0.7489626556016598,0.9518763796909492,0.7882096069868996,0.7680851063829788,0.9731527093596058
Ensamble,Naive Bayes,0.5180995475113123,0.9059602649006623,1.0,0.6825633383010433,0.9448043534594455
Ensamble,QDA,0.5327102803738317,0.9112582781456954,0.9956331877729258,0.6940639269406392,0.9481022463206817
