Embedding,Classifier,Precision,Accuracy,Recall,F1 (clone as positive class),F1 (distinct as positive class)
Content only,Nearest Neighbors,0.6524390243902439,0.9050102017683065,0.691437802907916,0.6713725490196079,0.9444812508281436
Content only,Linear SVM,0.0,0.8596690092949445,0.0,0.0,0.9245398025112763
Content only,RBF SVM,0.7018121911037891,0.9152119700748129,0.6882067851373183,0.6949429037520392,0.9507635597682992
Content only,Decision Tree,0.6962843295638126,0.9147585581500793,0.6962843295638126,0.6962843295638126,0.95042194092827
Content only,Random Forest,0.6792452830188679,0.9156653819995466,0.7560581583198708,0.7155963302752293,0.9504924141602342
Content only,Neural Net,0.7857142857142857,0.9013829063704375,0.4087237479806139,0.5377258235919234,0.944803958888466
Content only,AdaBoost,0.6720867208672087,0.9172523237361142,0.8012924071082391,0.7310243183492999,0.9511051574012057
Content only,Naive Bayes,0.6980830670926518,0.9158920879619133,0.7059773828756059,0.702008032128514,0.9510360300910651
Content only,QDA,0.6980830670926518,0.9158920879619133,0.7059773828756059,0.702008032128514,0.9510360300910651
Tags only,Nearest Neighbors,0.5065693430656935,0.8617093629562458,0.5605815831987075,0.5322085889570553,0.9188613993083267
Tags only,Linear SVM,0.0,0.8596690092949445,0.0,0.0,0.9245398025112763
Tags only,RBF SVM,0.5220804710500491,0.8698707776014509,0.8594507269789984,0.6495726495726496,0.9201002227171493
Tags only,Decision Tree,0.5326902465166131,0.8734980729993199,0.802907915993538,0.6404639175257731,0.9232462173314994
Tags only,Random Forest,0.532293986636971,0.8728179551122195,0.7722132471728594,0.6301911667765326,0.9232032854209445
Tags only,Neural Net,0.0,0.8596690092949445,0.0,0.0,0.9245398025112763
Tags only,AdaBoost,0.536504424778761,0.8746316028111539,0.7835218093699515,0.6369008535784635,0.9242361967392793
Tags only,Naive Bayes,0.5164938737040528,0.8676037179777828,0.8852988691437803,0.6523809523809524,0.9182301876225146
Tags only,QDA,0.5164938737040528,0.8676037179777828,0.8852988691437803,0.6523809523809524,0.9182301876225146
Content and tags,Nearest Neighbors,0.6006051437216339,0.8898209022897302,0.6413570274636511,0.6203124999999999,0.9355608591885441
Content and tags,Linear SVM,0.0,0.8596690092949445,0.0,0.0,0.9245398025112763
Content and tags,RBF SVM,0.6179775280898876,0.8977556109725686,0.7108239095315024,0.6611570247933883,0.9397944199706315
Content and tags,Decision Tree,0.6211901306240929,0.8975289050102018,0.691437802907916,0.654434250764526,0.9398456215065212
Content and tags,Random Forest,0.617231638418079,0.8973021990478349,0.7059773828756059,0.6586284853051997,0.9395597064709806
Content and tags,Neural Net,0.7195467422096318,0.8948084334618001,0.41033925686591277,0.522633744855967,0.940891719745223
Content and tags,AdaBoost,0.61794500723589,0.8966220811607345,0.6898222940226171,0.6519083969465648,0.939297124600639
Content and tags,Naive Bayes,0.5827814569536424,0.893674903649966,0.8529886914378029,0.6924590163934427,0.9357270111004522
Content and tags,QDA,0.5823204419889503,0.8934481976875992,0.851373182552504,0.6916010498687664,0.9355987941901891
Ensamble,Nearest Neighbors,0.7463343108504399,0.9358422126501927,0.8222940226171244,0.7824750192159877,0.9623720249966761
Ensamble,Linear SVM,0.0,0.8596690092949445,0.0,0.0,0.9245398025112763
Ensamble,RBF SVM,0.7048346055979644,0.9326683291770573,0.8949919224555735,0.788612099644128,0.9599568558716461
Ensamble,Decision Tree,0.723202170963365,0.934255270913625,0.8610662358642972,0.7861356932153393,0.961157246182695
Ensamble,Random Forest,0.7074742268041238,0.9326683291770573,0.8869143780290791,0.7870967741935483,0.9600107715093579
Ensamble,Neural Net,0.7364016736401674,0.9109045567898436,0.568659127625202,0.6417502278942572,0.949126213592233
Ensamble,AdaBoost,0.7245989304812834,0.9358422126501927,0.875605815831987,0.7929773226042428,0.962038900067069
Ensamble,Naive Bayes,0.5714285714285714,0.8943550215370665,0.9886914378029079,0.7242603550295857,0.9346606842400449
Ensamble,QDA,0.61337513061651,0.9088642031285423,0.9483037156704361,0.7449238578680203,0.9445211150979852
