Embedding,Classifier,Precision,Accuracy,Recall,F1 (clone as positive class),F1 (distinct as positive class)
Content only,Nearest Neighbors,0.8982102908277405,0.9006711409395973,0.8597430406852249,0.8785557986870898,0.9159727479182438
Content only,Linear SVM,0.0,0.582102908277405,0.0,0.0,0.7358597285067874
Content only,RBF SVM,0.8848580441640379,0.9096196868008949,0.9009635974304069,0.8928381962864722,0.9218568665377176
Content only,Decision Tree,0.9317129629629629,0.9158836689038031,0.8618843683083511,0.8954393770856507,0.9296407185628743
Content only,Random Forest,0.9329054842473745,0.9140939597315436,0.8559957173447538,0.8927973199329983,0.9283314669652856
Content only,Neural Net,0.7776793622674933,0.8626398210290828,0.9400428265524625,0.8511875908870578,0.8724553385957623
Content only,AdaBoost,0.9312536106296938,0.9161073825503355,0.8629550321199143,0.8958043901083634,0.9297884291331213
Content only,Naive Bayes,0.7581335616438356,0.8519015659955257,0.9480728051391863,0.8425309229305422,0.8602195945945946
Content only,QDA,0.7581335616438356,0.8519015659955257,0.9480728051391863,0.8425309229305422,0.8602195945945946
Tags only,Nearest Neighbors,0.7285796434732605,0.7599552572706935,0.6782655246252677,0.7025228721929582,0.7987999249953123
Tags only,Linear SVM,0.5510987094523893,0.6476510067114094,0.8458244111349036,0.6673706441393875,0.6254458977407847
Tags only,RBF SVM,0.8180653427290199,0.8042505592841164,0.6836188436830836,0.7448235637212015,0.8412266376338232
Tags only,Decision Tree,0.8318879252835224,0.8046979865771812,0.667558886509636,0.7407187407187409,0.8433518751121478
Tags only,Random Forest,0.8304521276595744,0.8044742729306488,0.6686295503211992,0.7408066429418743,0.8430316091954022
Tags only,Neural Net,0.7030393622321873,0.7644295302013423,0.7553533190578159,0.7282580645161291,0.7921026653504443
Tags only,AdaBoost,0.8320053120849934,0.8058165548098434,0.6707708779443254,0.7427385892116183,0.8440531800215596
Tags only,Naive Bayes,0.5451482479784366,0.6420581655480985,0.8661670235546038,0.6691480562448303,0.6101364522417154
Tags only,QDA,0.5451482479784366,0.6420581655480985,0.8661670235546038,0.6691480562448303,0.6101364522417154
Content and tags,Nearest Neighbors,0.7628048780487805,0.7749440715883669,0.6697002141327623,0.7132269099201825,0.8148011782032402
Content and tags,Linear SVM,0.9755656108597285,0.8172259507829978,0.5770877944325482,0.7251934073326607,0.8630802748449806
Content and tags,RBF SVM,0.797427652733119,0.7890380313199105,0.6638115631691649,0.7245106631609698,0.8290737719775241
Content and tags,Decision Tree,0.9373433583959899,0.8163310961968681,0.6006423982869379,0.7321370309951061,0.8602553191489363
Content and tags,Random Forest,0.9382819015846539,0.8172259507829978,0.6022483940042827,0.7336159113139876,0.8608888132130087
Content and tags,Neural Net,0.6786437246963563,0.7400447427293065,0.7178800856531049,0.6977107180020812,0.7719780219780219
Content and tags,AdaBoost,0.9406354515050167,0.8178970917225951,0.6022483940042827,0.7343342036553525,0.8614703880190606
Content and tags,Naive Bayes,0.5685992077781779,0.6673378076062639,0.8452890792291221,0.6798708288482239,0.6537834691501746
Content and tags,QDA,0.5685992077781779,0.6673378076062639,0.8452890792291221,0.6798708288482239,0.6537834691501746
Ensamble,Nearest Neighbors,0.95971692977681,0.9599552572706935,0.9437901498929336,0.9516869095816465,0.9658070678127983
Ensamble,Linear SVM,0.599112426035503,0.702013422818792,0.867237687366167,0.7086614173228346,0.6950549450549449
Ensamble,RBF SVM,0.968299711815562,0.9456375838926174,0.8993576017130621,0.93255620316403,0.9544688026981449
Ensamble,Decision Tree,0.9516471838469713,0.9624161073825503,0.958779443254818,0.9552,0.9676300578034682
Ensamble,Random Forest,0.9572192513368984,0.9646532438478748,0.9582441113490364,0.9577314071696094,0.9696270665128798
Ensamble,Neural Net,0.724309642372114,0.8038031319910515,0.8565310492505354,0.7848908511160166,0.819658646925766
Ensamble,AdaBoost,0.9542066027689031,0.963758389261745,0.9593147751605996,0.9567538707955152,0.9688101655756642
Ensamble,Naive Bayes,0.7183570829840737,0.8152125279642058,0.917558886509636,0.8058298072402446,0.8237302603499785
Ensamble,QDA,0.7516311439756416,0.8409395973154362,0.9250535331905781,0.8293736501079914,0.8510370835952232
