Embedding,Classifier,Precision,Accuracy,Recall,F1 (clone as positive class),F1 (distinct as positive class)
Content only,Nearest Neighbors,0.3014705882352941,0.8608964451313755,0.18981481481481483,0.23295454545454547,0.9235127478753541
Content only,Linear SVM,0.0,0.8887171561051005,0.0,0.0,0.9410801963993453
Content only,RBF SVM,0.0,0.8887171561051005,0.0,0.0,0.9410801963993453
Content only,Decision Tree,0.24242424242424243,0.8799587841318908,0.037037037037037035,0.0642570281124498,0.9358656757500687
Content only,Random Forest,0.0,0.8861411643482741,0.0,0.0,0.9396339797869436
Content only,Neural Net,0.0,0.8887171561051005,0.0,0.0,0.9410801963993453
Content only,AdaBoost,0.2857142857142857,0.8871715610510046,0.009259259259259259,0.017937219730941704,0.9401475813063679
Content only,Naive Bayes,0.2911392405063291,0.7357032457496137,0.9583333333333334,0.44660194174757284,0.8263959390862944
Content only,QDA,0.2911392405063291,0.7357032457496137,0.9583333333333334,0.44660194174757284,0.8263959390862944
Tags only,Nearest Neighbors,0.3082191780821918,0.859866048428645,0.20833333333333334,0.24861878453038674,0.9227272727272726
Tags only,Linear SVM,0.0,0.8887171561051005,0.0,0.0,0.9410801963993453
Tags only,RBF SVM,0.0,0.8887171561051005,0.0,0.0,0.9410801963993453
Tags only,Decision Tree,0.29411764705882354,0.8851107676455435,0.023148148148148147,0.04291845493562232,0.938887366401754
Tags only,Random Forest,0.3,0.8866563626996393,0.013888888888888888,0.02654867256637168,0.9398249452954048
Tags only,Neural Net,0.0,0.8887171561051005,0.0,0.0,0.9410801963993453
Tags only,AdaBoost,0.0,0.8882019577537352,0.0,0.0,0.9407912687585265
Tags only,Naive Bayes,0.2610619469026549,0.7217928902627512,0.8194444444444444,0.39597315436241615,0.819277108433735
Tags only,QDA,0.2610619469026549,0.7217928902627512,0.8194444444444444,0.39597315436241615,0.819277108433735
Content and tags,Nearest Neighbors,0.32748538011695905,0.8583204533745492,0.25925925925925924,0.2894056847545219,0.9213161659513591
Content and tags,Linear SVM,0.0,0.8887171561051005,0.0,0.0,0.9410801963993453
Content and tags,RBF SVM,0.0,0.8887171561051005,0.0,0.0,0.9410801963993453
Content and tags,Decision Tree,0.2692307692307692,0.8825347758887172,0.032407407407407406,0.05785123966942149,0.9373626373626374
Content and tags,Random Forest,0.375,0.88768675940237,0.013888888888888888,0.026785714285714284,0.9404045926735921
Content and tags,Neural Net,0.0,0.8887171561051005,0.0,0.0,0.9410801963993453
Content and tags,AdaBoost,0.3125,0.8856259659969088,0.023148148148148147,0.043103448275862065,0.9391780821917809
Content and tags,Naive Bayes,0.368141592920354,0.8119526017516744,0.9629629629629629,0.5326504481434059,0.8822960335375685
Content and tags,QDA,0.368141592920354,0.8119526017516744,0.9629629629629629,0.5326504481434059,0.8822960335375685
Ensamble,Nearest Neighbors,0.375,0.8639876352395672,0.3333333333333333,0.35294117647058826,0.924006908462867
Ensamble,Linear SVM,0.0,0.8887171561051005,0.0,0.0,0.9410801963993453
Ensamble,RBF SVM,0.0,0.8887171561051005,0.0,0.0,0.9410801963993453
Ensamble,Decision Tree,0.3230769230769231,0.8768675940236991,0.09722222222222222,0.1494661921708185,0.9336295473479589
Ensamble,Random Forest,0.125,0.8825347758887172,0.009259259259259259,0.017241379310344827,0.9375342465753426
Ensamble,Neural Net,0.0,0.8887171561051005,0.0,0.0,0.9410801963993453
Ensamble,AdaBoost,0.2909090909090909,0.8768675940236991,0.07407407407407407,0.11808118081180811,0.9338133481030185
Ensamble,Naive Bayes,0.3576158940397351,0.8001030396702731,1.0,0.526829268292683,0.8732854343566296
Ensamble,QDA,0.3658119658119658,0.8078310149407522,0.9907407407407407,0.5343320848938826,0.8789354105809802
