App,Model,Embedding,Classifier,Accuracy,Precision,Recall,F1_0,F1_1
addressbook,DS_content_modelsize100epoch31,Content only,Dummy,0.5807990459153249,0.7160804020100503,0.7013945857260049,0.2529224229543039,0.7086614173228348
addressbook,DS_content_modelsize100epoch31,Content only,Threshold,0.4979172764731047,1.0,0.4979172764731047,0.664812782779924,0.664812782779924
addressbook,DS_content_modelsize100epoch31,Content only,Nearest Neighbors,0.9063804412641622,0.9248,0.948318293683347,0.8225988700564972,0.9364115026326448
addressbook,DS_content_modelsize100epoch31,Content only,SVM RBF,0.8974358974358975,0.8790731354091238,0.995898277276456,0.7718832891246684,0.9338461538461538
addressbook,DS_content_modelsize100epoch31,Content only,Decision Tree,0.8795468097793679,0.9205955334987592,0.9130434782608696,0.7818574514038876,0.9168039538714992
addressbook,DS_content_modelsize100epoch31,Content only,Gaussian Naive Bayes,0.8783542039355993,0.9136104319478404,0.9196062346185396,0.7753303964757708,0.9165985282093212
addressbook,DS_content_modelsize100epoch31,Content only,Random Forest,0.8795468097793679,0.9205955334987592,0.9130434782608696,0.7818574514038876,0.9168039538714992
addressbook,DS_content_modelsize100epoch31,Content only,Ensemble,0.9039952295766248,0.9198412698412698,0.9507793273174734,0.8160000000000001,0.9350544574425173
addressbook,DS_content_modelsize100epoch31,Content only,Neural Network,0.8795468097793679,0.910411622276029,0.9253486464315012,0.7745535714285714,0.9178193653376728
addressbook,DS_tags_modelsize100epoch31,Tags only,Dummy,0.5986881335718545,0.7297979797979798,0.7112387202625102,0.2893347412882787,0.7203988367262152
addressbook,DS_tags_modelsize100epoch31,Tags only,Threshold,0.5941841352757076,1.0,0.5941841352757076,0.745439779668797,0.745439779668797
addressbook,DS_tags_modelsize100epoch31,Tags only,Nearest Neighbors,0.9719737626714372,0.9787581699346404,0.9827727645611156,0.9484083424807904,0.9807613589848546
addressbook,DS_tags_modelsize100epoch31,Tags only,SVM RBF,0.9761478831246272,0.9788789601949636,0.9885151763740772,0.9557522123893804,0.9836734693877552
addressbook,DS_tags_modelsize100epoch31,Tags only,Decision Tree,0.9672033392963626,0.9762684124386252,0.9786710418375718,0.9397590361445785,0.9774682507169192
addressbook,DS_tags_modelsize100epoch31,Tags only,Gaussian Naive Bayes,0.9743589743589745,0.9835526315789472,0.981132075471698,0.9532100108813928,0.982340862422998
addressbook,DS_tags_modelsize100epoch31,Tags only,Random Forest,0.9672033392963626,0.9762684124386252,0.9786710418375718,0.9397590361445785,0.9774682507169192
addressbook,DS_tags_modelsize100epoch31,Tags only,Ensemble,0.9713774597495528,0.9779591836734692,0.9827727645611156,0.9472527472527472,0.9803600654664484
addressbook,DS_tags_modelsize100epoch31,Tags only,Neural Network,0.9767441860465116,0.9867986798679867,0.981132075471698,0.9577464788732396,0.9839572192513368
addressbook,DS_content_tags_modelsize100epoch31,Content and tags,Dummy,0.5992844364937389,0.7273482959268496,0.7178014766201805,0.278969957081545,0.722543352601156
addressbook,DS_content_tags_modelsize100epoch31,Content and tags,Threshold,0.5047058293742823,1.0,0.5047058293742823,0.6708365442887391,0.6708365442887391
addressbook,DS_content_tags_modelsize100epoch31,Content and tags,Nearest Neighbors,0.936195587358378,0.9549918166939444,0.9573420836751436,0.8828039430449067,0.9561655059401885
addressbook,DS_content_tags_modelsize100epoch31,Content and tags,SVM RBF,0.951103160405486,0.972568578553616,0.95980311730927,0.9120171673819744,0.9661436829066888
addressbook,DS_content_tags_modelsize100epoch31,Content and tags,Decision Tree,0.9200954084675016,0.9472382522671065,0.9425758818703855,0.8546637744034707,0.9449013157894736
addressbook,DS_content_tags_modelsize100epoch31,Content and tags,Gaussian Naive Bayes,0.9522957662492546,0.9726141078838174,0.9614438063986874,0.913978494623656,0.9669966996699668
addressbook,DS_content_tags_modelsize100epoch31,Content and tags,Random Forest,0.9200954084675016,0.9472382522671065,0.9425758818703855,0.8546637744034707,0.9449013157894736
addressbook,DS_content_tags_modelsize100epoch31,Content and tags,Ensemble,0.939773404889684,0.9589490968801314,0.9581624282198524,0.8898582333696837,0.9585556011489536
addressbook,DS_content_tags_modelsize100epoch31,Content and tags,Neural Network,0.9522957662492546,0.9726141078838174,0.9614438063986874,0.913978494623656,0.9669966996699668
claroline,DS_content_modelsize100epoch31,Content only,Dummy,0.7197523916713562,0.8293172690763052,0.8360323886639676,0.1384083044982699,0.8326612903225805
claroline,DS_content_modelsize100epoch31,Content only,Threshold,0.5404116055132482,1.0,0.5404116055132482,0.701645720636062,0.701645720636062
claroline,DS_content_modelsize100epoch31,Content only,Nearest Neighbors,0.998030388294879,1.0,0.997638326585695,0.9941027801179444,0.9988177672690424
claroline,DS_content_modelsize100epoch31,Content only,SVM RBF,0.9977490151941476,1.0,0.9973009446693656,0.9932659932659932,0.9986486486486488
claroline,DS_content_modelsize100epoch31,Content only,Decision Tree,0.994091164884637,0.995287781891619,0.997638326585695,0.9820971867007672,0.9964616680707666
claroline,DS_content_modelsize100epoch31,Content only,Gaussian Naive Bayes,0.998030388294879,1.0,0.997638326585695,0.9941027801179444,0.9988177672690424
claroline,DS_content_modelsize100epoch31,Content only,Random Forest,0.994091164884637,0.995287781891619,0.997638326585695,0.9820971867007672,0.9964616680707666
