Embedding,Classifier,Precision,Accuracy,F1 score,Recall
Content only,Nearest Neighbors,0.9333333333333333,0.8704663212435233,0.9097472924187726,0.8873239436619719
Content only,Linear SVM,0.7635869565217391,0.7668393782383419,0.8619631901840491,0.9894366197183099
Content only,RBF SVM,0.935251798561151,0.8911917098445595,0.9252669039145907,0.9154929577464789
Content only,Decision Tree,0.9467680608365019,0.8730569948186528,0.910420475319927,0.8767605633802817
Content only,Random Forest,0.9400749063670412,0.8730569948186528,0.9110707803992741,0.8838028169014085
Content only,Neural Net,0.881578947368421,0.8652849740932642,0.9115646258503401,0.9436619718309859
Content only,AdaBoost,0.9525691699604744,0.8575129533678757,0.8975791433891992,0.8485915492957746
Content only,Naive Bayes,0.8963210702341137,0.8782383419689119,0.9193825042881646,0.9436619718309859
Content only,QDA,0.8963210702341137,0.8782383419689119,0.9193825042881646,0.9436619718309859
Tags only,Nearest Neighbors,0.9452054794520548,0.9378238341968912,0.9583333333333334,0.971830985915493
Tags only,Linear SVM,0.7696476964769647,0.7797927461139896,0.8698315467075038,1.0
Tags only,RBF SVM,0.9431438127090301,0.9507772020725389,0.9674099485420241,0.9929577464788732
Tags only,Decision Tree,0.9455782312925171,0.9430051813471503,0.9619377162629758,0.9788732394366197
Tags only,Random Forest,0.9415807560137457,0.9300518134715026,0.9530434782608697,0.9647887323943662
Tags only,Neural Net,0.922077922077922,0.9378238341968912,0.9594594594594594,1.0
Tags only,AdaBoost,0.9484536082474226,0.9404145077720207,0.9600000000000001,0.971830985915493
Tags only,Naive Bayes,0.9548611111111112,0.9430051813471503,0.9615384615384617,0.9683098591549296
Tags only,QDA,0.9548611111111112,0.9430051813471503,0.9615384615384617,0.9683098591549296
Content and tags,Nearest Neighbors,0.937037037037037,0.8756476683937824,0.9133574007220218,0.8908450704225352
Content and tags,Linear SVM,0.7593582887700535,0.7668393782383419,0.8632218844984804,1.0
Content and tags,RBF SVM,0.9326241134751773,0.8963730569948186,0.9293286219081272,0.926056338028169
Content and tags,Decision Tree,0.9442379182156134,0.883419689119171,0.918625678119349,0.8943661971830986
Content and tags,Random Forest,0.9375,0.8808290155440415,0.9172661870503597,0.897887323943662
Content and tags,Neural Net,0.8856209150326797,0.8756476683937824,0.9186440677966101,0.954225352112676
Content and tags,AdaBoost,0.9576923076923077,0.8808290155440415,0.9154411764705883,0.8767605633802817
Content and tags,Naive Bayes,0.8970099667774086,0.883419689119171,0.923076923076923,0.9507042253521126
Content and tags,QDA,0.8970099667774086,0.883419689119171,0.923076923076923,0.9507042253521126
Ensamble,Nearest Neighbors,0.9522184300341296,0.9507772020725389,0.9670710571923743,0.9823943661971831
Ensamble,Linear SVM,0.8562691131498471,0.8678756476683938,0.916530278232406,0.9859154929577465
Ensamble,RBF SVM,0.9463087248322147,0.9533678756476683,0.9690721649484537,0.9929577464788732
Ensamble,Decision Tree,0.9547038327526133,0.9404145077720207,0.9597197898423819,0.9647887323943662
Ensamble,Random Forest,0.9649122807017544,0.9507772020725389,0.9666080843585237,0.9683098591549296
Ensamble,Neural Net,0.9222972972972973,0.9119170984455959,0.9413793103448277,0.9612676056338029
Ensamble,AdaBoost,0.9551724137931035,0.9481865284974094,0.9651567944250872,0.9753521126760564
Ensamble,Naive Bayes,0.9637681159420289,0.927461139896373,0.95,0.9366197183098591
Ensamble,QDA,0.9636363636363636,0.9248704663212435,0.9481216457960644,0.9330985915492958
